id,name,set,num,raw,psa8,n8,psa9,n9,psa10,n10,conf10,hot,updated,img
87118,Magnezone (Prime),Triumphant,96/102,45.84,117.12,12,147.25,23,1615.78,29,low,1,2026-08-18,87118
250317,Lugia,Celebrations,022/025,0.7,13.5,42,15.5,66,225,29,medium,1,2026-08-18,250317
44421,Moltres (12),Fossil,12/62,192.61,119.975,267,330.385,194,4050.255,28,low,1,2026-08-18,44421
85825,Golem,Skyridge,148/144,599.99,439.47,33,674.5,42,5300,28,low,1,2026-08-18,85825
106989,Snorlax (27),Jungle,27/64,72.99,82.495,63,260,45,1777,28,medium,1,2026-08-18,106989
45148,Rhydon,Jungle,45/64,11.63,28.195,26,61,39,512,27,medium,1,2026-08-18,45148
83454,Absol (Prime),Triumphant,91/102,125.17,197,43,310,38,2161.07,27,high,1,2026-08-18,83454
84148,Celebi (Prime),Triumphant,92/102,88.06,143.5,72,499.99,51,5700,27,low,1,2026-08-18,84148
85987,Gyarados (H10),Skyridge,H10/H32,1249.94,2953,4,3552.67,11,6250,27,medium,1,2026-08-18,85987
88076,Pikachu,Expedition,124/165,23.82,42,16,66,37,599.99,27,medium,1,2026-08-18,88076
44448,Ekans,Fossil,46/62,1.88,17.52,15,29.86,40,169.99,25,medium,1,2026-08-18,44448
44464,Mysterious Fossil,Fossil,62/62,1.36,18.68,14,27,35,129.245,25,low,1,2026-08-18,44464
45121,Scyther (10),Jungle,10/64,143.26,114.9,179,193.7,134,1900,25,medium,1,2026-08-18,45121
45152,Bellsprout,Jungle,49/64,3.81,24.5,30,30.285,48,207.5,25,medium,1,2026-08-18,45152
45156,Goldeen,Jungle,53/64,2.42,20,29,30,37,150.5,25,medium,1,2026-08-18,45156
45161,Oddish,Jungle,58/64,3.72,18,20,33,35,175,25,high,1,2026-08-18,45161
45162,Paras,Jungle,59/64,2.23,23.92,17,26,39,175,25,medium,1,2026-08-18,45162
45167,Poke Ball,Jungle,64/64,3.3,15.6,19,30.835,41,181.5,25,low,1,2026-08-18,45167
83598,Arceus (AR7),Arceus,AR7,42.66,94,21,139.495,23,315,24,low,1,2026-08-18,83598
87405,Mew (Prime),Triumphant,97/102,369.47,405,83,800,73,6900,24,low,1,2026-08-18,87405
44423,Raichu (14),Fossil,14/62,118.63,102.5,230,322.5,137,5470.52,23,low,1,2026-08-18,44423
44450,Grimer,Fossil,48/62,3.24,20.009999999999998,31,33.224999999999994,48,200,23,medium,1,2026-08-18,44450
45145,Persian,Jungle,42/64,10.87,29.99,36,51.58,29,399.99,23,medium,1,2026-08-18,45145
45165,Spearow,Jungle,62/64,2.36,21.25,18,26.9,33,184.95,23,high,1,2026-08-18,45165
106531,Raichu (29),Fossil,29/62,25.62,35.75,29,79.43,41,399.995,22,medium,1,2026-08-18,106531
106988,Scyther (26),Jungle,26/64,30.87,35,19,70.225,19,415,22,medium,1,2026-08-18,106988
44433,Arbok,Fossil,31/62,6.58,29.95,17,39,28,186.765,21,low,1,2026-08-18,44433
45166,Venonat,Jungle,63/64,2.16,23.5,18,30,35,180,21,high,1,2026-08-18,45166
106532,Zapdos (30),Fossil,30/62,25.4,45,46,155.73,48,529.17,21,medium,1,2026-08-18,106532
106990,Vaporeon (28),Jungle,28/64,36.22,45,21,167.43,27,649.5,21,low,1,2026-08-18,106990
87914,Palkia & Dialga Legend (Top),Triumphant,101/102,132.21,199,43,300,44,2575,20,low,1,2026-08-18,87914
106528,Magneton (26),Fossil,26/62,13.95,28.5,15,75.99,27,389.5,20,high,1,2026-08-18,106528
113669,Charizard EX,Generations,11/83,26.43,34,36,72.04,51,575,20,medium,1,2026-08-18,113669
250293,Professor's Research [Professor Oak] (Full Art),Celebrations,024/025,1.32,10.5,9,11.99,13,49.99,20,medium,1,2026-08-18,250293
44425,Articuno (17),Fossil,17/62,28.45,42,35,74.38499999999999,40,640,19,high,1,2026-08-18,44425
44438,Golem,Fossil,36/62,7.35,26.494999999999997,20,54,34,350,19,high,1,2026-08-18,44438
83594,Arceus (AR3),Arceus,AR3,37.01,60,17,139.99,33,399.99,19,low,1,2026-08-18,83594
86396,Kabutops (150),Skyridge,150/144,1000,1526.995,16,1949,35,6499,19,low,1,2026-08-18,86396
106529,Moltres (27),Fossil,27/62,30.12,37,32,107.5,40,466.5,19,medium,1,2026-08-18,106529
113668,Leafeon EX,Generations,10/83,47.36,28.01,10,50,21,455,19,medium,1,2026-08-18,113668
44440,Kingler,Fossil,38/62,3.4,19.99,28,40,25,119.98,18,low,1,2026-08-18,44440
45136,Butterfree,Jungle,33/64,16.06,40,45,76.555,39,150,18,low,1,2026-08-18,45136
45142,Marowak,Jungle,39/64,10.15,34,20,58.9,24,350,18,high,1,2026-08-18,45142
84186,Charizard,Skyridge,146/144,,9999,11,6400.885,22,12706.125,18,low,1,2026-08-18,84186
85160,Electrode (Prime),Triumphant,93/102,45.95,50.015,26,172.495,39,1750,18,low,1,2026-08-18,85160
86209,Houndoom,Undaunted,5/90,18.64,32.49,8,82.06,16,262,18,medium,1,2026-08-18,86209
106981,Flareon (19),Jungle,19/64,42.38,55.99,33,80,38,599.5,18,low,1,2026-08-18,106981
106994,Wigglytuff (32),Jungle,32/64,21.59,29,7,51.9,17,371.59000000000003,18,medium,1,2026-08-18,106994
44432,Kabutops (24),Fossil,24/62,22.57,37.89,27,77,25,420.02,17,medium,1,2026-08-18,44432
44445,Slowbro,Fossil,43/62,11.42,30,30,68.05,37,315,17,medium,1,2026-08-18,44445
44460,Mr. Fuji,Fossil,58/62,11.7,19.5,24,41.5,22,330,17,medium,1,2026-08-18,44460
45143,Nidorina,Jungle,40/64,3.94,22.25,20,38.46,24,210,17,medium,1,2026-08-18,45143
106979,Clefable (17),Jungle,17/64,14.78,35,11,59,14,338,17,low,1,2026-08-18,106979
106983,Kangaskhan (21),Jungle,21/64,18.13,30,18,64.5,20,392.605,17,low,1,2026-08-18,106983
44431,Hypno (23),Fossil,23/62,16.98,30,20,60,35,380,16,medium,1,2026-08-18,44431
44435,Gastly,Fossil,33/62,8.6,34,24,54.5,22,302.5,16,medium,1,2026-08-18,44435
44444,Seadra,Fossil,42/62,5.17,31,27,48,21,231.76,16,low,1,2026-08-18,44444
45141,Lickitung,Jungle,38/64,9.21,39,17,41,36,384.24,16,medium,1,2026-08-18,45141
45149,Seaking,Jungle,46/64,5.34,23.65,23,44,15,290,16,low,1,2026-08-18,45149
85679,Gengar (Prime),Triumphant,94/102,539.75,647.475,114,1748.3400000000001,107,13585,16,low,1,2026-08-18,85679
86121,Ho-oh,Skyridge,149/144,800,3035,25,4320.5,42,4174.5,16,low,1,2026-08-18,86121
106985,Nidoqueen (23),Jungle,23/64,20.68,39.99,13,74.995,12,349.5,16,medium,1,2026-08-18,106985
106986,Pidgeot (24),Jungle,24/64,20.61,33.230000000000004,9,69.475,15,331.5,16,low,1,2026-08-18,106986
250308,Zekrom,Celebrations,010/025,0.31,10.940000000000001,12,14.795,32,119.99,16,medium,1,2026-08-18,250308
44441,Magmar,Fossil,39/62,9.06,27.5,31,43.5,36,370,15,medium,1,2026-08-18,44441
85736,Giratina (10),Platinum,10/127,64.81,300,21,499.99,11,2695.5,15,low,1,2026-08-18,85736
90694,Yanmega (Prime),Triumphant,98/102,31.1,56.24,33,129.9,37,1150,15,medium,1,2026-08-18,90694
106526,Aerodactyl (16),Fossil,16/62,23.75,36.8,21,75,25,500,15,medium,1,2026-08-18,106526
106987,Pinsir (25),Jungle,25/64,18.49,36.16,13,60,12,295,15,low,1,2026-08-18,106987
44426,Ditto (18),Fossil,18/62,22.73,49,17,118.75,30,600,14,medium,1,2026-08-18,44426
44430,Hitmonlee (22),Fossil,22/62,13.88,39.99,14,73.86,27,399.5,14,medium,1,2026-08-18,44430
44434,Cloyster,Fossil,32/62,5.82,18.5,17,48.5,26,256,14,high,1,2026-08-18,44434
44436,Golbat,Fossil,34/62,5.15,24.43,18,35.760000000000005,24,220,14,low,1,2026-08-18,44436
44447,Weezing,Fossil,45/62,5.48,24.99,27,33,23,219.25,14,low,1,2026-08-18,44447
44459,Zubat,Fossil,57/62,2.62,17.79,23,30.5,50,188.25,14,high,1,2026-08-18,44459
45124,Venomoth (13),Jungle,13/64,89.35,66,140,144.975,80,1250,14,low,1,2026-08-18,45124
45125,Victreebel (14),Jungle,14/64,121.65,64.99,133,149.99,83,2194,14,medium,1,2026-08-18,45125
45151,Weepinbell,Jungle,48/64,3.89,24.79,18,42.975,20,192.495,14,medium,1,2026-08-18,45151
85353,Exeggutor (H10),Aquapolis,H10/H32,162.49,367,11,451.5,10,5750,14,medium,1,2026-08-18,85353
89558,Steelix (H29),Skyridge,H29/H32,170,540,5,799,12,3054,14,low,1,2026-08-18,89558
44429,Haunter (21),Fossil,21/62,25.02,33,27,60,28,800,13,low,1,2026-08-18,44429
44437,Golduck,Fossil,35/62,6.71,27.5,30,55.5,28,343,13,medium,1,2026-08-18,44437
89487,Squirtle (132),Expedition,132/165,40.61,77,9,132.245,29,416,13,medium,1,2026-08-18,89487
106527,Lapras (25),Fossil,25/62,26.72,29,30,76,34,540,13,medium,1,2026-08-18,106527
106984,Mr. Mime (22),Jungle,22/64,19.74,45,12,60.5,18,249.99,13,medium,1,2026-08-18,106984
113682,Vaporeon EX,Generations,24/83,25.03,34.9,24,46.644999999999996,18,320,13,low,1,2026-08-18,113682
44446,Tentacruel,Fossil,44/62,6.4,25.5,27,40.79,20,265,12,medium,1,2026-08-18,44446
45126,Vileplume (15),Jungle,15/64,90.97,68.83500000000001,128,180,89,1871.495,12,low,1,2026-08-18,45126
45150,Tauros,Jungle,47/64,6.29,25,19,62,24,377.75,12,medium,1,2026-08-18,45150
83596,Arceus (AR5),Arceus,AR5,49.7,79.99,19,130,18,1346.5,12,low,1,2026-08-18,83596
84206,Charmander (97),Expedition,097/165,20.49,79.99,1,79,8,320,12,medium,1,2026-08-18,84206
87913,Palkia & Dialga Legend (Bottom),Triumphant,102/102,131.46,166.255,36,299.95,38,3512.5,12,high,1,2026-08-18,87913
89486,Squirtle (131),Expedition,131/165,48.92,82.8,8,197,18,639,12,medium,1,2026-08-18,89486
89528,Starmie (H28),Skyridge,H28/H32,575.75,628.995,12,754.995,10,3000,12,low,1,2026-08-18,89528
113686,Jolteon EX,Generations,28/83,32.94,34.99,23,59.995000000000005,34,580.495,12,high,1,2026-08-18,113686
44442,Omastar,Fossil,40/62,6.11,26.395,21,34.765,23,256,11,medium,1,2026-08-18,44442
44443,Sandslash,Fossil,41/62,7.67,27.5,17,43.45,21,350,11,medium,1,2026-08-18,44443
45137,Dodrio,Jungle,34/64,4.13,20.744999999999997,22,38.495000000000005,28,216.69,11,medium,1,2026-08-18,45137
45138,Exeggutor,Jungle,35/64,8.05,20.5,22,57.595,20,419.995,11,medium,1,2026-08-18,45138
45146,Primeape,Jungle,43/64,6.81,24.5,30,59.485,28,268,11,medium,1,2026-08-18,45146
45147,Rapidash,Jungle,44/64,7.9,31.975,21,58.9,30,339.95,11,medium,1,2026-08-18,45147
85456,Fire Energy,Expedition,161/165,2.52,,0,19.99,2,47.495000000000005,11,low,1,2026-08-18,85456
85669,Gengar (10),Skyridge,010/144,509.99,525.69,7,632.9300000000001,12,1500,11,low,1,2026-08-18,85669
86337,Jolteon (H12),Skyridge,H12/H32,234.99,825.99,5,1026.11,8,4660.92,11,medium,1,2026-08-18,86337
88435,Psyduck,Aquapolis,104/147,190.09,304,9,577.5,32,1450,11,medium,1,2026-08-18,88435
89387,Snorlax,Skyridge,100/144,136.21,168.745,12,344.995,22,840,11,low,1,2026-08-18,89387
106980,Electrode (18),Jungle,18/64,50.59,33.32,13,55,17,325,11,low,1,2026-08-18,106980
44439,Graveler,Fossil,37/62,4.93,24.99,15,36.9,25,273.995,10,medium,1,2026-08-18,44439
83599,Arceus (AR8),Arceus,AR8,36.51,49.99,40,159.44,18,2175,10,low,1,2026-08-18,83599
84548,Cyndaquil (105),Expedition,105/165,12.9,30,5,66.73,5,174.99,10,low,1,2026-08-18,84548
85649,Gastly,Expedition,109/165,6.62,40,3,31.5,12,196.825,10,medium,1,2026-08-18,85649
86359,Judge,Unleashed,78/95,9.42,17.75,2,44,7,74.995,10,high,1,2026-08-18,86359
86492,Koffing,Expedition,114/165,5.16,48.3,3,32.5,7,79.95,10,low,1,2026-08-18,86492
87315,Meowth,Expedition,121/165,5.82,40.03,5,107.5,3,285,10,medium,1,2026-08-18,87315
90146,Umbreon (Prime),Undaunted,86/90,549.45,599.97,134,1862.495,89,18999.99,10,low,1,2026-08-18,90146
106530,Muk (28),Fossil,28/62,14,26.494999999999997,18,70,17,499.99,10,medium,1,2026-08-18,106530
45140,Gloom,Jungle,37/64,5.22,24.99,23,47,21,188.595,9,low,1,2026-08-18,45140
83600,Arceus (AR9),Arceus,AR9,40.14,49.99,23,129.99,41,1212.495,9,low,1,2026-08-18,83600
85805,Goldeen,Expedition,111/165,2.6,12.26,1,22.5,5,67,9,low,1,2026-08-18,85805
86690,Ledian (H14),Skyridge,H14/H32,158.33,367.065,4,369.49,9,2650,9,medium,1,2026-08-18,86690
87024,Magikarp,Expedition,118/165,31.91,71,7,165,18,315,9,medium,1,2026-08-18,87024
87096,Magneton (H19),Skyridge,H19/H32,199.99,224.99,9,410.5,10,2350,9,low,1,2026-08-18,87096
87619,Muk (H17),Aquapolis,H17/H32,260.8,355,12,380.89,7,2399.975,9,low,1,2026-08-18,87619
90303,Venomoth,Triumphant,11/102,4.37,15.504999999999999,2,36.475,8,237.10500000000002,9,low,1,2026-08-18,90303
106991,Venomoth (29),Jungle,29/64,13.91,25,7,62.5,23,285.13,9,medium,1,2026-08-18,106991
106992,Victreebel (30),Jungle,30/64,16.23,24.6,12,48.975,14,281.97,9,medium,1,2026-08-18,106992
113660,M Venusaur EX,Generations,2/83,23.57,32,11,41.86,5,350,9,medium,1,2026-08-18,113660
83593,Arceus (AR2),Arceus,AR2,35.32,55.495000000000005,18,168.88,23,2026.01,8,low,1,2026-08-18,83593
84191,Charizard,Arceus,1/99,87.65,172.49,70,350,43,10000,8,low,1,2026-08-18,84191
84353,Clefairy,Expedition,101/165,9.47,29,4,28.494999999999997,8,167.07999999999998,8,low,1,2026-08-18,84353
84704,Darkrai & Cresselia Legend (Bottom),Triumphant,100/102,139.68,294,34,325,30,2281.305,8,medium,1,2026-08-18,84704
85323,Espeon (Prime),Undaunted,81/90,275.24,254.975,87,899.9,74,14598,8,low,1,2026-08-18,85323
88112,Piloswine (H22),Skyridge,H22/H32,388.45,397,6,337.495,8,2162.5,8,low,1,2026-08-18,88112
88502,Raichu (H25),Skyridge,H25/H32,252.1,672.5,6,629.995,14,5450,8,medium,1,2026-08-18,88502
90255,Ursaring (Prime),Unleashed,89/95,45.8,89.9,24,199.9,11,4425,8,low,1,2026-08-18,90255
90315,Venusaur (67),Expedition,067/165,34.94,,0,78.175,2,406.385,8,medium,0,2026-08-18,90315
90715,Zapdos (H32),Aquapolis,H32/H32,290,953,6,1230,8,7500,8,medium,1,2026-08-18,90715
113684,Pikachu,Generations,26/83,3.83,20,7,35.71,15,294.75,8,low,1,2026-08-18,113684
45122,Snorlax (11),Jungle,11/64,342.03,299.99,250,944.9300000000001,134,19550,7,low,1,2026-08-18,45122
45139,Fearow,Jungle,36/64,4.47,23.744999999999997,16,44.06,19,401.69,7,low,1,2026-08-18,45139
45144,Parasect,Jungle,41/64,3.49,21.5,23,41,19,219.88,7,medium,1,2026-08-18,45144
83512,Alph Lithograph,Triumphant,FOUR,98,93.78999999999999,14,149.9,11,1275,7,low,1,2026-08-18,83512
83595,Arceus (AR4),Arceus,AR4,52.17,58.925,19,169.5,15,3787.1,7,low,1,2026-08-18,83595
84705,Darkrai & Cresselia Legend (Top),Triumphant,99/102,202.09,250.225,49,399.97,23,1999.99,7,medium,1,2026-08-18,84705
85737,Giratina (9),Platinum,9/127,33.12,59,11,150,24,4327,7,low,1,2026-08-18,85737
86444,Kingdra (148),Aquapolis,148/147,599.99,739.52,21,1499,24,7500,7,low,1,2026-08-18,86444
88528,Raichu LV.X,Stormfront,99/100,104.5,194.99,18,355,18,6950,7,low,1,2026-08-18,88528
88531,Raikou (H26),Skyridge,H26/H32,350,1070.5,6,1500,9,5101.01,7,medium,1,2026-08-18,88531
88587,Rapidash,Triumphant,8/102,25.64,24.5,7,66.96,16,1175,7,medium,1,2026-08-18,88587
88997,Scyther (106),Aquapolis,106/147,16.3,,0,82.99,3,299.99,7,low,0,2026-08-18,88997
89318,Slowking (Prime),Undaunted,85/90,65.72,140,39,299.9,21,6999,7,low,1,2026-08-18,89318
89596,Sudowoodo,Unleashed,9/95,18.44,100,5,73.475,8,59.99,7,high,1,2026-08-18,89596
89994,Totodile (134),Expedition,134/165,29.56,31.5,3,85,9,500,7,low,1,2026-08-18,89994
106993,Vileplume (31),Jungle,31/64,16.3,19.994999999999997,8,45.5,17,328,7,low,1,2026-08-18,106993
113671,Ninetales EX,Generations,13/83,5.61,29.9,4,26.99,7,265,7,low,1,2026-08-18,113671
83480,Aggron,Triumphant,1/102,9.75,28,5,42,10,1147.5,6,low,1,2026-08-18,83480
83510,Alph Lithograph,Unleashed,TWO,126.81,99.99,7,184.495,4,1155.0549999999998,6,low,1,2026-08-18,83510
83518,Altaria,Triumphant,2/102,11.47,34.95,3,54.99,20,2087.495,6,low,1,2026-08-18,83518
83576,Arcanine (H2),Aquapolis,H02/H32,474.63,425,10,79.99,6,308.5,6,low,1,2026-08-18,83576
84232,Charmeleon,Stormfront,102/100,117.69,125,22,256.5,23,10999.994999999999,6,medium,1,2026-08-18,84232
84810,Dialga G,Platinum,7/127,18.24,16.51,1,46.68,11,604.465,6,low,1,2026-08-18,84810
84820,Diglett,Expedition,106/165,3.84,20.95,2,27.25,4,161.995,6,low,1,2026-08-18,84820
85582,Full Heal,Expedition,154/165,0.57,27.490000000000002,2,,0,34.495000000000005,6,low,0,2026-08-18,85582
85686,Geodude,Expedition,110/165,6.33,19.51,1,30.475,4,121.25,6,low,0,2026-08-18,85686
86759,Lightning Energy,Expedition,163/165,1.14,,0,,0,39.855000000000004,6,low,0,2026-08-18,86759
87196,Mareep,Expedition,119/165,3.95,21.52,3,29.23,4,189.99,6,medium,1,2026-08-18,87196
87695,Nidoking (150),Aquapolis,150/147,749.99,1600,35,3000,38,11347.5,6,low,1,2026-08-18,87695
88247,Politoed (H23),Skyridge,H23/H32,450,635,7,633.025,11,3121.415,6,low,1,2026-08-18,88247
88284,Ponyta,Expedition,126/165,8.84,29,1,29,3,160,6,low,0,2026-08-18,88284
88950,Sceptile,Stormfront,10/100,49.94,100,15,183.16,8,543,6,low,1,2026-08-18,88950
89368,Sneasel,Aquapolis,110/147,6.12,34.45,2,31,8,116.5,6,low,1,2026-08-18,89368
89931,Togepi,Aquapolis,114/147,18.73,41,3,55,5,199.12,6,low,1,2026-08-18,89931
90102,Typhlosion (65),Expedition,065/165,27.55,47,1,,0,265,6,high,0,2026-08-18,90102
90436,Vulpix,Expedition,136/165,24.71,26,3,37.99,5,206.25,6,low,1,2026-08-18,90436
90682,Yanma,Skyridge,116/144,11.62,,0,28.830000000000002,2,252.495,6,medium,0,2026-08-18,90682
106524,Hypno (8),Fossil,08/62,79.54,70,32,229.095,28,2017,6,high,1,2026-08-18,106524
113693,Gengar,Generations,35/83,39.3,50,34,202.5,17,2250,6,low,1,2026-08-18,113693
83499,Alakazam (2),Skyridge,002/144,122.86,69.99,3,191.25,2,320,5,medium,0,2026-08-18,83499
83552,Ancient Ruins,Skyridge,119/144,10.32,,0,42.144999999999996,2,207.93,5,medium,0,2026-08-18,83552
83597,Arceus (AR6),Arceus,AR6,31.27,49.99,22,124.16499999999999,22,2800,5,low,1,2026-08-18,83597
84147,Celebi,Triumphant,3/102,23.42,51.5,4,158.75,10,550,5,low,1,2026-08-18,84147
84183,Charizard (6),Expedition,006/165,465,1500,3,24.99,1,57.12,5,low,0,2026-08-18,84183
84423,Copycat,Expedition,138/165,1.46,27.490000000000002,2,22.5,3,65.31,5,low,0,2026-08-18,84423
84485,Crobat (147),Skyridge,147/144,447.5,1118.03,6,2546.0950000000003,20,5994,5,low,1,2026-08-18,84485
84547,Cyndaquil (104),Expedition,104/165,19.87,43.495000000000005,2,51.435,6,405,5,low,1,2026-08-18,84547
84811,Dialga G LV.X,Platinum,122/127,189.2,120.75,23,510,23,6900,5,low,1,2026-08-18,84811
84931,Dratini,Expedition,107/165,11.71,25.25,2,45,7,230.5,5,medium,1,2026-08-18,84931
85101,Ekans,Expedition,108/165,4.12,22.48,2,23.2,6,98.81,5,low,1,2026-08-18,85101
85491,Flareon (8),Skyridge,008/144,78.33,94.11,1,110,7,400,5,medium,1,2026-08-18,85491
85774,Gliscor,Undaunted,4/90,8.14,41.495000000000005,4,135,5,2925,5,low,1,2026-08-18,85774
86223,Houndour,Expedition,113/165,6.22,24.049999999999997,6,72.495,2,125,5,low,1,2026-08-18,86223
86599,Lanturn (H15),Aquapolis,H15/H32,64.98,119.99,11,312.5,16,2123,5,medium,1,2026-08-18,86599
86611,Lanturn (Prime),Unleashed,86/95,43.52,56.875,28,346,5,3500,5,low,1,2026-08-18,86611
87404,Mew,Rumble,10,367.1,378.5,12,999.99,15,7550,5,low,1,2026-08-18,87404
87556,Moltres (H20),Skyridge,H20/H32,338,1187.73,5,1827.01,10,7562.5,5,low,1,2026-08-18,87556
87575,Moo-Moo Milk,Expedition,155/165,1.34,20.96,2,29,6,109.99,5,low,1,2026-08-18,87575
87693,Nidoking (24),Aquapolis,024/147,15.66,35,1,48,5,175,5,medium,0,2026-08-18,87693
87699,Nidoking,Triumphant,6/102,12.29,30.994999999999997,12,66.7,14,1259,5,low,1,2026-08-18,87699
87918,Palkia G Lv.X,Platinum,125/127,87.37,186.25,25,548.36,17,7000,5,low,1,2026-08-18,87918
88096,Pikachu,Rumble,7,750,1199.99,25,2850,15,1325,5,low,1,2026-08-18,88096
88256,Poliwag,Expedition,125/165,20.22,,0,47,3,62.495,5,low,0,2026-08-18,88256
88283,Ponyta,Aquapolis,102/147,9.32,,0,36.5,2,179.53,5,low,0,2026-08-18,88283
88389,Professor Elm's Training Method,Expedition,148/165,2.35,,0,,0,42.495000000000005,5,low,0,2026-08-18,88389
88906,Salamence Lv.X,Arceus,98/99,103.95,154.73000000000002,28,400,15,4650,5,low,1,2026-08-18,88906
89281,Skuntank,Rumble,13,52.37,149.99,9,348,5,2605,5,low,1,2026-08-18,89281
89454,Spinarak (111),Aquapolis,111/147,3.31,13.08,1,29.99,1,57.5,5,low,0,2026-08-18,89454
89467,Spiritomb,Triumphant,10/102,4.87,34.86,4,39.99,10,813.605,5,low,1,2026-08-18,89467
89613,Sunflora,Skyridge,105/144,14.21,20.75,2,46,1,137.99,5,low,0,2026-08-18,89613
89619,Sunkern,Skyridge,106/144,9.64,26.03,1,,0,149.99,5,low,0,2026-08-18,89619
90505,Water Energy,Expedition,165/165,2.24,13.5,1,24.785,2,60,5,low,0,2026-08-18,90505
106523,Hitmonlee (7),Fossil,07/62,87.68,135.2,41,265,27,3697.4700000000003,5,high,1,2026-08-18,106523
113676,M Blastoise EX,Generations,18/83,31.21,33.495000000000005,13,80,18,465,5,medium,1,2026-08-18,113676
44418,Aerodactyl (1),Fossil,01/62,92.7,93.495,32,311,11,5525,4,medium,1,2026-08-18,44418
45123,Vaporeon (12),Jungle,12/64,105.5,100.5,254,399.995,106,15248.5,4,low,1,2026-08-18,45123
83820,Bibarel,Rumble,16,93.15,100,9,152.5,7,2600,4,low,1,2026-08-18,83820
84224,Charmeleon,Expedition,073/165,36.26,56,1,100.25,2,540,4,medium,0,2026-08-18,84224
